conversation_id,n_rows,n_text_qc_flagged,starter,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_6906450c4a3c8194b0213d674fab127800e248a978b2b3cd,5,0,author_1,berlin,False,False
conv_6906473d1b588193970994285aa4c0470be7be3c9cca90d1,5,0,author_1,berlin,False,False
conv_69064872a9348197b83b2179615895080e1d73b177f35dc2,5,0,author_1,berlin,False,False
conv_690649474aec8197b5055799cf0a195a0fdf441ff351bd63,5,0,author_1,berlin,False,False
conv_69064b3f4bc48193a768f76acde8f6fc03ce6e8554b1d728,5,0,author_1,berlin,False,False
conv_69064b6ecf8c819794a25b24e29a1cb30186913a2813c213,5,0,author_1,berlin,False,False
conv_69064de5b7a88197b169c0ff91cd50f709f28431d5609a54,5,0,author_1,berlin,False,False
conv_69064e8ed7908190b6bd1b5c5092a16c060c9350ea08548b,5,0,author_1,berlin,False,False
conv_69064ff055e0819087286051b29984a60f567fe77a349b25,5,0,author_1,berlin,False,False
conv_69065172b1a88190bd0ae0b9ce01e18a0d0c3e20b8c79421,3,0,author_1,berlin,False,False
conv_6906529040608195bb9bb3756cdb3338068fa97571c4fd9c,5,0,author_1,berlin,False,False
conv_6906532d3f588193b5b1e0b587b01ccc0b3d77954970b668,1,0,author_1,berlin,False,False
conv_69065468dd50819592b1bac16f2930bb07ae5fc7814dc229,5,0,author_1,berlin,False,False
conv_6906557c18b8819696de71e083f9a5fa09b54c0b8eb49917,5,0,author_1,berlin,False,False
conv_6906586442948197bc56dd0ad9e60cb609486894e2f8bca7,5,0,author_1,berlin,False,False
conv_690658925b588196a0c910d67ca291ce0f80c836b446d20c,5,0,author_1,berlin,False,False
conv_69069b53cb4081969b7cf87e6596c7ce0671a169856a9570,1,0,author_1,berlin,False,False
conv_690725368f048190b579f87fff57cd2f07c6a5b263341af4,3,0,author_1,berlin,False,False
conv_69072643bb9881958c5c54e100a5948606fa59d23e47734a,5,0,author_1,berlin,False,False
conv_69072b8205148197b2795305f07e92e20f25119a55df73ea,5,0,author_1,berlin,False,False
conv_69072bda6f308190bfd9a4d76af8234d08f4ec052a506318,5,0,author_1,berlin,False,False
conv_69072dfdb5fc8194bc7abb962acbf788070218575f190471,5,0,author_1,berlin,False,False
conv_69072e2b93688193a8fb65e0baa392e6058c09fbb9c04510,4,0,author_1,berlin,False,False
conv_69072f9597a881968144ca749d2da5190b59489010c4cf60,5,0,author_1,berlin,False,False
conv_69072fbe40e08196b4f8498da2a85fff0cb3233d5a793b3b,5,0,author_1,berlin,False,False
conv_6907317bdf14819383cf2920ddf1cbfa0623aeb7d0e60287,5,0,author_1,berlin,False,False
conv_6907325cc864819788f7dfa5b9204ffb031e4a61a4455781,4,0,author_1,berlin,False,False
conv_690734166d048195b0721b203be25fa505374a3fa8403803,5,0,author_1,berlin,False,False
conv_6907365523788196aa2e82e617ac5b3a0a633a53c749a898,5,0,author_1,berlin,False,False
conv_690736e28ce8819092df0a9c7b6398ca07373c81491a691a,5,0,author_1,berlin,False,False
conv_690738705d4c8197b30211acf2962d1708d81b9389ada649,4,0,author_1,berlin,False,False
conv_690738a7712881948beed5bc8ded60cc028465fb75c6bd18,5,0,author_1,berlin,False,False
conv_69073a7d03108194b390cf6db6b3e2b205fccd9a4497c801,5,0,author_1,berlin,False,False
conv_69073b332a00819681afe70ff59fff6406ec92ecbfac153a,4,0,author_1,berlin,False,False
conv_69073c5d5ccc81979dcd8431240434e9041c19eb94f1de0b,4,0,author_1,berlin,False,False
conv_69073c84ccec81908acb9ff3732fc88f0d6f5771f8e9cee6,2,0,author_1,berlin,False,False
conv_69073d55e36881939c97f1e071a006e602d21a553ea952ff,5,0,author_1,berlin,False,False
conv_69073d93d8188196b7049ae489d6801a020ce13b90c2c86c,4,0,author_1,berlin,False,False
conv_69073f0b29848194b73817edcafd86b10aa953ac81148266,5,0,author_1,berlin,False,False
conv_69073fa928a88190b1ebe5bde3db22250493930ef5523d31,5,0,author_1,berlin,False,False
conv_6907410238fc81949439db6a5d139d9f052f475cc2380d88,1,0,author_1,berlin,False,False
conv_6907415edb808197a4bb575342a765730ad2acd408601880,4,0,author_1,berlin,False,False
conv_69074649dd9081949530d014c8905de50d55d9cefddb3de2,1,0,author_1,berlin,False,False
conv_690746840fe881978409e5465073451309b9f8461d10273d,1,1,author_1,berlin,True,True
conv_6907473d589c8197adcceadea980c6460f1f0c16a49cf4a7,5,0,author_1,berlin,False,False
conv_69074752db008194aea946209e73f89c01f4b64cf9774d31,5,0,author_1,berlin,False,False
conv_69074908ef9c8194ad00ecadc6bbfd0b028c151b2e370362,5,0,author_1,berlin,False,False
conv_6907496b871c8197b2a44406d30ce8170b35be627aed34ec,1,0,author_1,berlin,False,False
conv_69074a82fe348197b377769774b9afee07426126199ed199,5,0,author_1,berlin,False,False
conv_69074c948fa88196bb882318f141c6640dedac5240f84c4e,5,0,author_1,berlin,False,False
conv_69074cf59a708195bce767d2662c22230332279f85afbb14,1,0,author_1,berlin,False,False
conv_69074e09f7e48196834c3a5bb7976b1f0cf3f838c26ea3bc,5,0,author_1,berlin,False,False
conv_69074f4e95b08190a7c1dc2e1a7ab8ad0d8c078a8531938d,5,0,author_1,berlin,False,False
conv_69074f67d0688194b0dd21a2c00e015a05773bd60bedcd9e,4,0,author_1,berlin,False,False
